Page,Label,Sequence
urn:cite:mid:bern318pages.1r.v1,Bern 318 Folio 1 Recto,1
urn:cite:mid:bern318pages.1v.v1,Bern 318 Folio 1 Verso,2
urn:cite:mid:bern318pages.2r.v1,Bern 318 Folio 2 Recto,3
urn:cite:mid:bern318pages.2v.v1,Bern 318 Folio 2 Verso,4
urn:cite:mid:bern318pages.3r.v1,Bern 318 Folio 3 Recto,5
urn:cite:mid:bern318pages.3v.v1,Bern 318 Folio 3 Verso,6
urn:cite:mid:bern318pages.4r.v1,Bern 318 Folio 4 Recto,7
urn:cite:mid:bern318pages.4v.v1,Bern 318 Folio 4 Verso,8
urn:cite:mid:bern318pages.5r.v1,Bern 318 Folio 5 Recto,9
urn:cite:mid:bern318pages.5v.v1,Bern 318 Folio 5 Verso,10
urn:cite:mid:bern318pages.6r.v1,Bern 318 Folio 6 Recto,11
urn:cite:mid:bern318pages.6v.v1,Bern 318 Folio 6 Verso,12
urn:cite:mid:bern318pages.7r.v1,Bern 318 Folio 7 Recto,13
urn:cite:mid:bern318pages.7v.v1,Bern 318 Folio 7 Verso,14
urn:cite:mid:bern318pages.8r.v1,Bern 318 Folio 8 Recto,15
urn:cite:mid:bern318pages.8v.v1,Bern 318 Folio 8 Verso,16
urn:cite:mid:bern318pages.9r.v1,Bern 318 Folio 9 Recto,17
urn:cite:mid:bern318pages.9v.v1,Bern 318 Folio 9 Verso,18
urn:cite:mid:bern318pages.10r.v1,Bern 318 Folio 10 Recto,19
urn:cite:mid:bern318pages.10v.v1,Bern 318 Folio 10 Verso,20
urn:cite:mid:bern318pages.11r.v1,Bern 318 Folio 11 Recto,21
urn:cite:mid:bern318pages.11v.v1,Bern 318 Folio 11 Verso,22
urn:cite:mid:bern318pages.12r.v1,Bern 318 Folio 12 Recto,23
urn:cite:mid:bern318pages.12v.v1,Bern 318 Folio 12 Verso,24
urn:cite:mid:bern318pages.13r.v1,Bern 318 Folio 13 Recto,25
urn:cite:mid:bern318pages.13v.v1,Bern 318 Folio 13 Verso,26
urn:cite:mid:bern318pages.14r.v1,Bern 318 Folio 14 Recto,27
urn:cite:mid:bern318pages.14v.v1,Bern 318 Folio 14 Verso,28
urn:cite:mid:bern318pages.15r.v1,Bern 318 Folio 15 Recto,29
urn:cite:mid:bern318pages.15v.v1,Bern 318 Folio 15 Verso,30
urn:cite:mid:bern318pages.16r.v1,Bern 318 Folio 16 Recto,31
urn:cite:mid:bern318pages.16v.v1,Bern 318 Folio 16 Verso,32
urn:cite:mid:bern318pages.17r.v1,Bern 318 Folio 17 Recto,33
urn:cite:mid:bern318pages.17v.v1,Bern 318 Folio 17 Verso,34
urn:cite:mid:bern318pages.18r.v1,Bern 318 Folio 18 Recto,35
urn:cite:mid:bern318pages.18v.v1,Bern 318 Folio 18 Verso,36
urn:cite:mid:bern318pages.19r.v1,Bern 318 Folio 19 Recto,37
urn:cite:mid:bern318pages.19v.v1,Bern 318 Folio 19 Verso,38
urn:cite:mid:bern318pages.20r.v1,Bern 318 Folio 20 Recto,39
urn:cite:mid:bern318pages.20v.v1,Bern 318 Folio 20 Verso,40
urn:cite:mid:bern318pages.21r.v1,Bern 318 Folio 21 Recto,41
urn:cite:mid:bern318pages.21v.v1,Bern 318 Folio 21 Verso,42
urn:cite:mid:bern318pages.22r.v1,Bern 318 Folio 22 Recto,43
urn:cite:mid:bern318pages.22v.v1,Bern 318 Folio 22 Verso,44
urn:cite:mid:bern318pages.23r.v1,Bern 318 Folio 23 Recto,45
urn:cite:mid:bern318pages.23v.v1,Bern 318 Folio 23 Verso,46
urn:cite:mid:bern318pages.24r.v1,Bern 318 Folio 24 Recto,47
urn:cite:mid:bern318pages.24v.v1,Bern 318 Folio 24 Verso,48
urn:cite:mid:bern318pages.25r.v1,Bern 318 Folio 25 Recto,49
urn:cite:mid:bern318pages.25v.v1,Bern 318 Folio 25 Verso,50
urn:cite:mid:bern318pages.26r.v1,Bern 318 Folio 26 Recto,51
urn:cite:mid:bern318pages.26v.v1,Bern 318 Folio 26 Verso,52
urn:cite:mid:bern318pages.27r.v1,Bern 318 Folio 27 Recto,53
urn:cite:mid:bern318pages.27v.v1,Bern 318 Folio 27 Verso,54
urn:cite:mid:bern318pages.28r.v1,Bern 318 Folio 28 Recto,55
urn:cite:mid:bern318pages.28v.v1,Bern 318 Folio 28 Verso,56
urn:cite:mid:bern318pages.29r.v1,Bern 318 Folio 29 Recto,57
urn:cite:mid:bern318pages.29v.v1,Bern 318 Folio 29 Verso,58
urn:cite:mid:bern318pages.30r.v1,Bern 318 Folio 30 Recto,59
urn:cite:mid:bern318pages.30v.v1,Bern 318 Folio 30 Verso,60
urn:cite:mid:bern318pages.31r.v1,Bern 318 Folio 31 Recto,61
urn:cite:mid:bern318pages.31v.v1,Bern 318 Folio 31 Verso,62
urn:cite:mid:bern318pages.32r.v1,Bern 318 Folio 32 Recto,63
urn:cite:mid:bern318pages.32v.v1,Bern 318 Folio 32 Verso,64
urn:cite:mid:bern318pages.33r.v1,Bern 318 Folio 33 Recto,65
urn:cite:mid:bern318pages.33v.v1, Bern 318 Folio 33 Verso,66
urn:cite:mid:bern318pages.34r.v1, Bern 318 Folio 34 Recto,67
urn:cite:mid:bern318pages.34v.v1, Bern 318 Folio 34 Verso,68
urn:cite:mid:bern318pages.35r.v1, Bern 318 Folio 35 Recto,69
urn:cite:mid:bern318pages.35v.v1, Bern 318 Folio 35 Verso,70
